%DEPTH	GR	  RHOB	NPHI	RES-DEEP
%  m	  API  	g/cm3		
648.16	24.1	2.394	0.119	0.95
648.31	26.8	2.378	0.120	0.85
648.46	27.0	2.374	0.118	0.80
648.61	25.9	2.373	0.117	0.84
648.77	25.2	2.374	0.118	0.85
648.92	25.7	2.377	0.119	0.84
649.07	27.0	2.360	0.116	0.83
649.22	28.5	2.353	0.111	0.84
649.38	28.6	2.362	0.104	0.84
649.53	26.7	2.378	0.102	0.84
649.68	25.4	2.391	0.104	0.84
649.83	25.2	2.418	0.105	0.83
649.99	25.4	2.460	0.104	0.87
