,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1067,Andesite,-122.4572,46.2356,58.68,1.02,16.83,6.55,0.14,4.63,7.32,3.61,1.05,0.18
1068,Andesite,-122.5,46.135,58.72,1.83,16.12,8.26,0.13,2.99,5.8,3.97,1.69,0.49
1069,Andesite,-122.4131,46.155,58.49,1.14,17.25,6.79,0.13,3.78,7.2,3.81,1.19,0.22
1070,Andesite,-122.3806,46.1661,59.0,1.53,16.7,7.58,0.12,2.83,6.46,3.96,1.51,0.32
1071,Andesite sill,-122.3811,46.1992,59.73,0.74,16.84,6.27,0.16,3.94,7.23,3.45,1.46,0.18
1072,Andesite,-122.4683,46.2372,59.03,1.0,16.59,6.54,0.11,4.72,7.17,3.62,1.03,0.18
1073,Andesite,-122.3942,46.225,59.22,1.06,16.44,6.61,0.1,4.37,7.03,3.54,1.43,0.19
1074,Andesite sill,-122.4008,46.1689,59.91,1.14,16.62,6.73,0.11,3.58,6.98,3.93,0.79,0.22
1075,Andesite,-122.385,46.2356,60.02,1.13,16.41,6.69,0.1,3.66,6.56,3.63,1.69,0.1
1076,Andesite dike,-122.4894,46.1714,60.72,1.69,15.54,7.68,0.15,2.38,5.36,4.29,1.72,0.48
1077,Andesite,-122.3928,46.2214,59.9,1.11,16.56,6.6,0.11,3.61,6.61,3.65,1.65,0.2
1078,Andesite,-122.4144,46.1853,59.99,1.11,17.01,6.55,0.09,2.92,6.81,3.77,1.52,0.21
1079,Andesite,-122.4175,46.1975,60.07,0.96,17.03,6.02,0.12,3.47,6.83,3.85,1.44,0.2
1080,Andesite,-122.4164,46.2181,60.33,0.97,16.7,6.32,0.11,3.93,6.81,3.96,0.66,0.2
1081,Andesite,-122.4164,46.2092,60.01,1.11,16.38,6.6,0.11,3.72,6.42,3.7,1.73,0.21
1082,Andesite,-122.4222,46.2403,60.66,0.99,16.47,6.08,0.1,3.79,6.78,3.45,1.46,0.21
1083,Andesite,-122.4108,46.2394,61.71,1.08,16.8,6.04,0.11,2.78,5.56,3.92,1.77,0.22
1084,Andesite,-122.3961,46.2464,61.34,1.24,16.59,6.43,0.1,2.36,6.14,4.75,0.74,0.31
1085,Andesite,-122.4047,46.2139,61.78,1.1,16.5,6.16,0.12,2.78,5.7,3.87,1.77,0.23
1086,Andesite,-122.4556,46.2453,62.24,0.93,16.69,5.47,0.11,2.93,5.6,4.11,1.7,0.23
1087,Andesite,-122.4053,46.2211,62.36,0.87,16.39,5.9,0.1,2.79,5.57,3.92,1.91,0.2
1088,Andesite,-122.4094,46.2353,62.4,0.87,16.37,5.79,0.11,2.89,5.68,3.85,1.84,0.2
1089,Granodiorite,-122.5008,46.1553,64.74,1.07,16.06,5.49,0.14,1.46,2.95,6.0,1.71,0.37
1090,Dacite,-122.4733,46.2511,66.96,0.63,15.76,4.19,0.07,1.93,4.19,3.93,2.18,0.17
1091,Basaltic andesite,-122.779,45.957,52.46,1.12,18.75,8.56,0.14,4.79,10.7,2.92,0.34,0.22
1092,Basaltic andesite,-122.834,45.996,52.58,1.14,18.13,8.6,0.15,5.41,10.5,2.87,0.41,0.21
1093,Basaltic andesite,-122.806,45.968,52.83,1.22,17.82,8.69,0.15,5.32,10.34,3.03,0.35,0.24
