,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1833,Andesite dike,-121.9788,44.7914,56.72,1.29,16.98,9.95,0.2,2.61,6.03,4.35,1.38,0.49
1834,Andesite,-121.9584,44.8058,59.27,1.36,16.36,8.55,0.2,1.52,5.85,3.71,2.67,0.48
1835,Andesite,-121.9992,44.8203,57.71,1.32,17.17,8.53,0.13,2.04,6.97,3.86,1.89,0.38
1844,Basaltic andesite,-122.2138,44.8955,54.42,1.13,19.71,7.12,0.12,3.94,8.74,3.78,0.76,0.26
1845,Basaltic andesite,-122.244,44.7625,54.32,1.1,17.91,7.59,0.19,5.16,9.08,3.27,1.09,0.29
1846,Basaltic andesite,-122.3944,44.9597,55.33,1.06,18.14,7.44,0.14,5.69,7.62,3.37,1.04,0.17
1847,Basaltic andesite,-122.3663,44.861,56.31,0.93,17.29,7.17,0.14,5.77,8.0,3.29,0.93,0.16
1848,Andesite,-122.2032,44.7914,60.42,0.94,17.24,6.16,0.11,3.77,6.6,3.53,1.0,0.24
1849,Andesite,-122.4018,45.0509,59.05,0.94,17.66,6.47,0.11,3.94,6.66,3.57,1.42,0.17
1850,Andesite,-122.0196,44.7336,61.19,1.0,16.48,6.34,0.12,2.56,6.52,3.51,2.09,0.2
1851,Andesite,-122.2626,44.9243,61.11,0.87,17.11,6.15,0.08,2.86,5.95,3.93,1.76,0.18
1852,Andesite,-121.9584,44.6758,61.66,0.74,16.48,6.11,0.13,3.13,6.48,3.5,1.62,0.14
1853,Andesite plug,-122.142,44.8203,61.45,0.74,17.38,5.34,0.09,3.26,6.15,3.91,1.53,0.14
1854,Andesite,-122.244,44.748,63.4,1.08,15.83,6.06,0.11,2.82,4.62,4.08,1.74,0.26
1855,Dacite,-122.3611,45.0694,64.63,0.73,17.03,4.51,0.07,2.26,4.18,4.97,1.4,0.22
1856,Dacite tuff,-122.04,44.748,66.01,1.06,15.75,5.72,0.09,0.77,3.69,3.91,2.73,0.27
1857,Dacite tuff,-122.244,44.7625,68.39,0.85,15.41,4.07,0.06,0.67,2.76,5.0,2.6,0.19
1858,Rhyolite,-122.1746,44.9819,73.71,0.39,14.14,2.31,0.03,0.31,1.94,3.91,3.22,0.05
1859,Basaltic andesite,-122.244,44.7625,53.74,1.05,18.14,8.47,0.14,5.82,8.98,2.88,0.62,0.15
1860,Basaltic andesite,-122.244,44.7625,52.69,1.13,18.85,7.71,0.15,6.02,9.3,3.11,0.83,0.19
1861,Basaltic andesite,-122.244,44.7625,53.87,0.99,20.52,7.56,0.14,3.73,8.92,3.44,0.72,0.12
1862,Basaltic andesite,-122.244,44.7625,54.22,1.06,18.95,7.81,0.15,4.74,8.48,3.4,1.0,0.19
1863,Basaltic andesite,-122.244,44.7625,53.6,1.01,18.1,8.47,0.13,5.98,8.76,3.04,0.72,0.18
1864,Andesite,-122.244,44.7625,58.58,1.05,18.54,7.06,0.12,3.25,6.96,3.66,0.65,0.13
1865,Basaltic andesite,-122.244,44.7625,54.53,1.12,19.36,7.13,0.11,4.56,8.51,3.33,1.11,0.25
1866,Basaltic andesite,-121.9176,44.7336,54.46,1.1,18.19,8.32,0.14,4.44,8.58,3.59,0.87,0.31
1867,Andesite,-122.1624,44.7914,59.57,0.92,17.09,5.83,0.09,3.53,6.71,4.07,1.84,0.37
1868,Andesite,-122.0808,44.8203,60.53,0.84,16.84,6.31,0.13,3.98,6.23,3.43,1.53,0.18
1869,Andesite,-122.1828,44.7914,60.24,0.74,16.89,5.53,0.09,4.47,6.64,3.43,1.82,0.13
1870,Dacite,-122.1216,44.8203,68.29,0.78,15.99,3.78,0.07,1.03,3.62,4.39,1.86,0.18
1871,Dacite tuff,-122.142,44.7914,68.25,0.52,16.28,3.61,0.07,1.39,3.68,4.05,2.02,0.11
1872,Dacite dike,-122.2032,44.7769,68.4,0.76,15.22,4.0,0.09,0.67,4.36,3.8,2.51,0.19
1873,Dacite,-122.1624,44.7914,67.14,0.8,16.63,3.55,0.06,1.0,3.9,4.22,2.54,0.16
1874,Basalt,-121.938,44.8058,49.76,1.49,17.04,10.98,0.17,7.78,7.78,3.76,0.97,0.27
1875,Basalt,-121.9176,44.748,50.71,0.99,17.51,9.63,0.18,9.04,9.04,2.75,0.05,0.11
1876,Basaltic andesite,-121.8972,44.748,56.66,1.04,18.93,8.67,0.17,5.18,5.18,3.2,0.8,0.16
1877,Andesite,-121.938,44.7336,57.26,1.19,18.42,8.62,0.14,4.64,4.64,3.76,1.01,0.34
1878,Andesite,-121.9584,44.748,58.44,1.22,18.91,7.99,0.14,3.95,3.95,4.02,1.05,0.33
1879,Andesite,-121.9584,44.7336,60.38,1.71,17.18,8.61,0.18,2.69,2.69,4.95,1.15,0.45
1880,Dacite,-121.938,44.7336,67.3,0.83,16.31,4.79,0.15,0.97,0.97,6.46,2.0,0.21
1881,Basalt,-121.9584,44.7191,51.45,1.31,17.64,9.55,0.18,6.63,9.36,2.91,0.6,0.39
1882,Basalt,-121.9584,44.7191,51.97,1.33,17.02,10.03,0.17,6.4,9.07,3.06,0.62,0.32
1883,Basalt,-121.9788,44.7191,50.52,1.24,17.55,9.14,0.17,8.11,9.05,3.22,0.66,0.34
1884,Basaltic andesite,-121.938,44.7336,54.83,1.18,18.22,7.97,0.14,5.33,7.81,3.52,0.8,0.2
1885,Basaltic andesite,-121.9992,44.748,55.63,1.17,17.69,8.11,0.15,3.99,8.54,3.41,0.96,0.36
1886,Basaltic plug,-121.9992,44.748,56.93,1.06,18.82,6.69,0.1,2.9,8.35,3.63,1.15,0.36
1887,Andesite plug,-121.9176,44.6902,59.27,1.0,16.89,6.91,0.13,2.89,6.84,3.61,2.05,0.4
1888,Andesite dike,-121.9584,44.7769,60.39,0.71,16.73,6.06,0.12,4.31,6.23,3.61,1.7,0.13
1889,Basalt dike,-121.9992,44.7336,50.49,1.45,17.67,10.6,0.19,6.11,9.74,2.99,0.44,0.33
1890,Basaltic andesite,-121.9788,44.7336,54.24,1.18,17.26,7.78,0.15,4.63,8.98,3.65,1.68,0.45
1891,Basaltic andesite,-121.938,44.7191,54.68,1.22,16.64,7.97,0.15,5.27,9.77,2.96,1.01,0.33
1892,Andesite,-121.938,44.7336,58.13,0.93,16.54,7.3,0.15,5.04,7.4,3.21,1.12,0.17
1910,Andesite,-122.339,44.58,59.45,0.95,17.55,6.12,0.12,3.45,6.81,4.59,0.75,0.19
1911,Andesite,-122.319,44.57,65.1,1.1,16.48,6.2,0.16,2.63,1.2,6.46,0.34,0.34
1912,Basalt,-122.359,44.58,53.41,1.11,17.97,7.41,0.12,5.16,11.15,2.79,0.59,0.29
1913,Dacite,-122.299,44.61,66.12,0.81,15.8,4.73,0.1,1.62,3.21,4.65,2.74,0.22
1914,Andesite,-122.299,44.58,60.68,0.91,17.29,5.7,0.11,2.95,6.72,3.85,1.56,0.22
1915,Andesite,-122.299,44.6,57.25,1.07,19.1,6.51,0.12,3.58,8.37,3.4,0.36,0.24
1916,Dacite,-122.279,44.61,70.47,0.68,12.6,2.76,0.06,0.43,7.22,2.79,2.93,0.05
1917,Andesite,-122.279,44.54,57.78,1.01,18.59,6.03,0.12,4.54,8.03,3.03,0.67,0.19
1918,Andesite,-122.279,44.61,58.93,0.11,18.79,7.07,0.11,3.41,7.44,3.44,0.43,0.26
1919,Andesite,-122.299,44.58,54.76,0.99,16.0,8.03,0.13,5.67,9.49,2.94,1.6,0.39
1920,Andesite,-122.339,44.61,56.82,1.49,15.96,9.0,0.16,3.62,7.09,3.78,1.77,0.32
1921,Diorite,-122.298,44.594,61.26,0.92,18.5,5.72,0.1,2.51,4.88,4.04,1.86,0.2
1922,Diorite,-122.291,44.601,53.3,0.99,18.07,7.45,0.17,6.25,8.46,3.56,1.58,0.17
1923,Granite,-122.313,44.519,70.09,0.6,14.45,3.29,0.07,1.22,2.59,4.04,3.54,0.1
1924,Diorite,-122.348,44.587,75.82,0.77,3.23,0.11,6.15,3.19,3.99,3.99,2.63,0.13
1925,Granodiorite,-122.283,44.562,63.16,0.77,15.83,5.2,0.09,3.06,4.85,3.43,3.42,0.2
1926,Quartz monzonite,-122.281,44.606,72.81,1.06,13.04,2.1,0.07,0.63,2.22,3.67,4.34,0.06
1927,Aplite,-122.368,44.587,76.25,0.92,11.55,1.4,0.03,0.69,1.65,0.42,7.08,0.01
1997,Dacite,-121.155,46.7767,65.42,1.04,16.4,5.96,0.07,1.86,3.78,3.29,1.84,0.35
1998,Andesite,-121.1553,46.7783,62.19,1.01,16.57,7.76,0.12,2.95,6.8,2.18,0.23,0.19
1999,Andesite,-121.1433,46.7617,59.99,1.09,17.86,6.73,0.14,2.65,6.38,3.48,1.37,0.31
2000,Andesite,-121.135,46.76,57.93,1.04,17.62,7.71,0.15,3.33,7.11,3.5,1.36,0.26
2001,Basaltic andesite dike,-121.1567,46.7717,54.73,1.15,18.09,8.0,0.15,4.61,9.35,2.68,0.98,0.26
2002,Andesite,-121.1617,46.7717,57.93,1.45,18.08,8.31,0.18,1.58,7.09,3.84,1.08,0.45
2003,Dacite,-121.1467,46.755,65.87,0.68,16.14,5.29,0.1,1.0,4.16,4.25,2.31,0.19
2004,Dacite,-121.14,46.755,65.23,0.68,16.18,5.34,0.12,1.15,4.01,4.82,2.28,0.19
2005,Andesite dike,-121.1383,46.76,58.33,1.02,17.35,7.87,0.17,3.54,6.32,3.25,1.86,0.29
2006,Andesite,-121.1383,46.76,58.51,1.0,17.74,7.69,0.14,3.04,6.3,3.7,1.59,0.28
2007,Basaltic andesite sill,-121.1433,46.76,56.3,1.17,17.48,8.29,0.19,5.03,7.03,3.1,1.15,0.27
2008,Basaltic andesite intrusion,-121.145,46.7783,53.77,1.2,18.48,8.86,0.19,3.98,9.7,2.76,0.81,0.24
2009,Dacite,-121.145,46.765,65.65,0.67,16.07,5.13,0.11,1.09,3.59,4.7,2.81,0.19
2010,Andesite,-121.1467,46.7567,64.7,0.73,16.42,5.69,0.13,1.61,5.39,4.29,0.83,0.2
2012,Basaltic andesite,-121.195,46.725,54.14,1.25,18.34,8.28,0.24,4.15,8.98,3.26,1.04,0.32
2013,Andesite,-121.1867,46.7217,59.84,1.39,16.39,7.88,0.15,2.29,5.63,4.01,2.03,0.38
2014,Basalt dike,-121.185,46.705,52.08,1.0,17.64,7.31,0.13,5.65,12.1,2.87,1.05,0.16
2015,Basaltic andesite,-121.185,46.7133,54.87,1.39,17.55,9.87,0.18,3.44,7.95,3.21,1.26,0.27
2016,Andesite,-121.1867,46.7233,63.04,1.09,15.87,6.78,0.15,1.55,4.34,4.19,2.62,0.37
2017,Basaltic andesite intrusion ,-121.1883,46.6967,54.75,0.95,17.32,8.36,0.17,5.72,8.69,2.74,1.09,0.2
2018,Andesite dike,-121.1933,46.7017,57.97,1.12,17.85,7.33,0.19,2.82,7.92,3.27,1.33,0.22
2019,Basaltic andesite,-121.13,46.7417,57.1,1.12,17.89,7.38,0.12,3.69,7.95,2.72,1.75,0.27
2020,Basaltic andesite,-121.13,46.7333,57.64,1.07,17.64,7.51,0.15,3.5,7.33,3.31,1.58,0.26
2021,Andesite,-121.1517,46.74,62.3,0.9,16.52,7.23,0.17,1.32,4.75,4.81,1.64,0.35
2022,Basaltic andesite,-121.1633,46.745,61.01,0.95,16.85,6.96,0.13,2.77,6.01,3.02,2.13,0.17
2023,Basalt,-121.976,45.745,49.92,1.25,18.93,11.5,0.19,4.05,9.8,3.68,0.32,0.36
2024,Basalt,-121.985,45.748,51.32,2.47,16.75,11.25,0.19,4.18,9.47,2.98,0.72,0.67
2025,Basalt,-121.947,45.73,55.0,1.63,17.68,8.85,0.14,3.12,8.32,3.81,1.18,0.28
2026,Basalt,-121.799,45.77,52.06,1.83,17.95,9.35,0.24,6.81,7.09,3.39,0.91,0.38
2027,Basalt,-121.789,45.81,55.15,0.88,17.7,8.2,0.19,5.45,7.89,3.54,0.77,0.22
2028,Basalt,-121.809,45.88,53.76,1.59,18.08,9.33,0.16,3.58,8.88,3.82,0.56,0.23
2029,Basalt,-121.949,45.97,54.56,0.91,19.11,8.42,0.19,4.68,7.89,2.9,1.14,0.19
2030,Andesite,-121.949,45.92,59.99,1.07,16.98,7.49,0.14,2.53,5.38,4.14,2.07,0.22
2031,Diorite,-121.809,45.73,64.2,0.59,16.6,5.73,0.14,2.34,6.03,3.36,0.85,0.16
2032,Diorite,-121.7477,45.73,65.17,0.57,17.65,4.12,0.04,2.27,4.29,4.49,1.14,0.26
2033,Quartz diorite,-121.7684,45.701,66.28,0.78,17.55,3.77,0.03,2.16,3.43,4.57,1.15,0.28
2034,Basalt,-121.999,45.794,52.68,1.86,16.96,10.99,0.19,4.03,8.25,3.76,0.99,0.29
2035,Dacite,-121.935,45.796,67.5,0.76,14.14,6.63,0.16,1.04,2.88,4.38,2.29,0.22
2036,Andesite tuff breccia,-121.848,45.772,64.49,0.72,14.91,6.2,0.18,1.17,6.57,2.95,1.77,1.03
2037,Basaltic andesite,-121.839,45.742,54.54,1.51,17.79,8.89,0.18,3.52,8.26,4.03,0.98,0.29
2038,Basaltic andesite,-121.818,45.716,54.86,1.71,16.05,10.34,0.17,3.63,7.59,4.17,1.18,0.3
2039,Gabbro,-121.929,45.815,53.84,1.36,19.29,8.92,0.15,3.02,8.05,4.35,0.78,0.24
2040,Diorite/andesite,-121.893,45.842,56.84,1.79,16.51,10.48,0.19,2.62,5.45,4.79,1.03,0.29
2041,Diorite,-121.915,45.822,57.19,1.93,15.53,9.97,0.2,2.82,6.23,4.03,1.62,0.48
2042,Diorite,-121.9,45.819,56.96,1.85,15.93,9.83,0.19,3.04,5.94,4.17,1.65,0.44
2043,Diorite,-121.907,45.806,62.04,1.45,14.82,9.08,0.18,1.49,5.59,3.52,1.38,0.46
2044,Diorite,-121.905,45.8,55.4,1.82,16.02,11.28,0.22,3.22,6.46,4.26,1.0,0.32
2045,Diorite,-121.883,45.791,57.88,1.89,16.47,8.76,0.17,2.82,5.89,4.31,1.5,0.31
2046,Diorite,-121.805,45.738,59.63,1.07,16.67,7.13,0.12,3.66,6.64,3.74,1.1,0.22
2047,Diorite,-121.795,45.73,59.27,0.92,17.53,6.55,0.11,3.81,6.47,4.03,1.14,0.16
2048,Rhyolite tuff,-122.1674,44.3994,71.31,0.43,15.55,2.86,0.05,0.37,2.1,4.66,2.61,0.06
2049,Andesite,-122.1579,44.4225,58.39,0.88,17.53,6.42,0.1,4.4,7.36,3.5,1.26,0.16
2050,Basaltic andesite,-122.1446,44.396,52.64,1.15,17.58,8.92,0.16,5.98,8.66,3.39,1.02,0.5
2051,Basaltic andesite,-122.1003,44.3968,55.7,1.05,17.89,7.36,0.12,4.74,7.91,3.77,1.11,0.33
2052,Basaltic andesite,-122.13,44.3923,56.38,0.98,18.0,7.18,0.13,4.34,7.58,3.8,1.28,0.33
2053,Basaltic andesite,-122.1168,44.4072,53.7,1.31,18.09,8.83,0.16,4.39,7.6,3.9,1.32,0.7
2054,Basaltic andesite intrusion,-122.1191,44.4265,56.04,1.03,17.86,7.46,0.14,4.89,8.18,3.24,0.88,0.28
2055,Basaltic andesite,-122.1244,44.4217,53.73,1.25,17.8,8.54,0.15,5.09,8.4,3.48,1.05,0.51
2056,Basaltic andesite,-122.127,44.4196,53.44,1.33,17.88,8.58,0.14,4.95,7.92,4.0,1.18,0.58
2057,Basalt intrusion,-122.129,44.414,51.92,1.6,18.38,9.37,0.15,4.85,8.73,3.76,0.87,0.37
2058,Andesite,-122.158,44.3976,58.71,0.79,18.33,5.89,0.11,3.97,7.59,3.73,0.74,0.14
2059,Andesite,-122.1357,44.3457,58.79,0.78,18.38,5.96,0.1,3.78,7.16,3.88,1.0,0.17
2060,Basaltic andesite,-122.1234,44.385,53.73,1.19,17.98,8.43,0.14,5.09,8.08,3.58,1.28,0.49
2061,Basaltic andesite,-122.0989,44.3684,53.83,1.18,17.77,8.42,0.15,5.04,8.07,3.9,1.13,0.49
2062,Basaltic andesite intrusion,-122.0783,44.3838,55.17,2.09,16.01,10.28,0.2,3.34,7.24,4.51,0.58,0.57
2063,Basalt,-122.0784,44.3601,51.9,1.22,17.88,8.68,0.15,5.65,8.41,4.13,1.34,0.63
2064,Basaltic andesite,-122.1542,44.3372,56.73,1.75,16.06,8.98,0.17,3.07,6.84,4.97,1.11,0.33
2065,Andesite intrusion,-122.1505,44.3025,58.27,0.92,18.49,6.61,0.12,3.6,7.39,3.55,0.79,0.26
2066,Basaltic andesite,-122.0971,44.3236,52.16,1.63,17.88,9.22,0.16,4.75,8.82,3.94,1.0,0.44
2067,Basaltic andesite,-122.0722,44.3082,55.81,1.32,17.72,8.27,0.13,3.7,7.49,4.06,1.05,0.45
2068,Dacite,-122.0905,44.3338,65.23,0.89,15.99,5.32,0.11,1.34,3.66,4.97,2.21,0.28
2069,Basaltic andesite,-122.0644,44.3121,55.41,1.29,17.82,8.08,0.14,4.03,7.7,4.06,1.04,0.43
2070,Basaltic andesite,-122.0538,44.3198,54.92,1.33,17.82,8.25,0.14,4.14,7.66,4.07,1.21,0.46
2071,Basaltic andesite,-122.0472,44.3198,54.78,1.33,17.85,8.34,0.14,4.19,7.78,4.01,1.11,0.47
2072,Andesite,-121.9049,45.3447,61.63,0.82,17.31,5.7,0.09,3.19,6.12,3.92,1.03,0.19
2074,Andesite,-121.875,45.3838,56.46,0.97,20.1,6.51,0.1,2.58,7.83,4.23,1.01,0.21
2076,Basalt,-121.8207,45.3507,51.48,1.11,17.39,8.52,0.16,7.4,10.66,2.86,0.28,0.14
2078,Andesite ,-121.829,45.358,58.78,0.97,19.22,5.86,0.09,3.95,6.77,3.95,0.19,0.22
2079,Dacite,-121.8298,45.4192,65.62,0.58,17.42,4.27,0.08,1.77,4.46,4.27,1.34,0.19
2081,Andesite,-121.8468,45.2503,60.16,0.97,16.91,6.22,0.14,4.95,6.57,3.28,0.63,0.17
2082,Andesite,-121.8637,45.2593,53.8,1.45,18.37,7.84,0.13,4.92,8.85,3.53,0.81,0.3
2083,Andesite,-121.7935,45.466,60.74,0.85,17.58,5.85,0.1,3.33,6.19,3.9,1.3,0.16
2084,Andesite,-121.8225,45.4005,58.98,0.95,17.29,6.17,0.08,4.63,6.87,3.7,1.16,0.17
2088,Andesite,-121.9167,45.3522,60.31,0.77,17.61,5.7,0.1,3.8,6.61,3.81,1.14,0.15
2089,Andesite,-121.8128,45.35,59.69,0.97,17.31,6.04,0.13,4.18,6.82,3.37,1.32,0.17
2090,Andesite,-121.8048,45.3473,59.14,0.99,17.23,6.29,0.11,4.53,6.0,3.43,2.1,0.18
2091,Andesite,-121.7187,45.4172,56.86,1.14,19.43,6.9,0.11,3.36,7.18,4.27,0.51,0.24
2092,Intrusion,-121.814,45.3058,56.49,1.11,18.15,6.84,0.15,4.66,7.85,3.88,0.66,0.21
2094,Intrusion,-121.8287,45.3065,65.14,0.68,17.37,3.16,0.04,2.58,4.57,5.49,0.96,0.01
2095,Intrusion,-121.8197,45.3032,61.59,0.9,16.61,5.61,0.09,3.24,5.76,4.41,1.62,0.17
2096,Intrusion,-121.8377,45.2748,60.54,0.89,16.17,6.51,0.04,4.14,6.35,3.52,1.69,0.15
2097,Intrusion,-121.8377,45.2745,61.9,1.05,15.42,7.25,0.06,3.29,5.46,3.43,1.94,0.2
2098,Dacite,-122.4342,43.2614,66.49,0.87,15.71,4.61,0.1,1.18,4.07,4.55,2.2,0.21
2099,Dacite,-122.4477,43.2692,66.06,0.9,15.81,4.71,0.1,1.31,4.15,4.55,2.19,0.22
2100,Basaltic andesite,-122.259,43.1985,52.12,1.04,18.01,8.65,0.14,6.1,9.34,3.41,0.91,0.28
2101,Basaltic andesite,-122.2862,43.198,53.79,1.3,18.64,8.45,0.14,3.85,8.72,3.53,1.15,0.43
2102,Basaltic andesite,-122.3415,43.2205,56.71,1.09,18.63,7.73,0.12,2.95,6.7,4.14,1.64,0.29
2103,Basaltic andesite,-122.2825,43.2208,53.24,1.02,19.4,8.4,0.13,5.02,7.65,3.8,1.07,0.27
2104,Basaltic andesite,-122.2997,43.2065,56.32,0.96,18.15,7.85,0.14,4.21,6.76,3.92,1.35,0.34
2105,Basaltic andesite,-122.3175,43.1685,52.07,1.48,17.56,9.73,0.12,5.18,8.87,3.46,1.08,0.45
2106,Andesite,-122.3652,43.2053,58.55,1.08,17.58,7.73,0.14,2.67,6.34,4.15,1.52,0.24
2107,Basaltic andesite,-122.2965,43.1788,53.45,1.2,17.91,9.03,0.16,5.12,7.82,3.74,1.04,0.53
2108,Andesite,-122.3478,43.2017,61.68,1.0,17.4,6.33,0.11,1.46,5.46,4.89,1.44,0.23
2109,Basaltic andesite,-122.3257,43.1305,56.79,1.05,16.34,8.12,0.14,5.43,6.48,3.74,1.49,0.42
2110,Basaltic andesite,-122.3365,43.1368,55.92,1.64,16.96,9.2,0.2,2.87,7.17,4.41,1.18,0.45
2111,Basaltic andesite,-122.3243,43.0987,55.59,1.65,16.79,9.5,0.19,3.18,7.02,4.3,1.33,0.45
2112,Basaltic andesite,-122.0865,44.4789,55.03,0.81,19.55,7.19,0.13,4.56,7.86,3.57,1.04,0.26
2113,Basaltic andesite,-122.0648,44.4207,53.14,1.16,18.05,8.42,0.16,5.06,8.24,4.06,1.16,0.55
2114,Basaltic andesite,-122.0684,44.419,55.94,0.82,18.5,7.29,0.14,4.56,7.22,3.56,1.57,0.4
2115,Basaltic andesite,-122.0573,44.4129,52.45,1.03,17.6,8.96,0.1,5.07,8.25,4.18,1.55,0.81
2116,Basaltic andesite,-122.0745,44.4558,53.65,1.17,17.66,9.14,0.1,5.06,8.2,3.83,0.62,0.57
2117,Basalt,-122.0635,44.4971,51.59,1.12,17.93,8.93,0.17,6.81,8.58,3.2,1.16,0.51
2118,Basaltic andesite,-122.0676,44.4973,52.41,1.04,18.32,8.95,0.1,5.2,8.56,3.79,0.97,0.66
2119,Basalt,-122.0712,44.4967,51.8,1.13,18.55,9.19,0.1,5.65,8.83,3.82,0.46,0.47
2120,Basaltic andesite,-122.0734,44.4964,56.9,0.85,17.8,7.63,0.07,4.18,7.55,3.2,1.26,0.56
2121,Basaltic andesite,-122.0758,44.4962,55.53,1.14,18.0,8.01,0.14,4.16,7.89,3.88,0.92,0.33
2122,Basaltic andesite,-122.0916,44.4468,53.45,1.09,17.42,8.78,0.1,4.99,8.18,4.0,1.3,0.69
2123,Basalt,-122.0518,44.5405,51.08,1.05,17.08,9.72,0.11,8.01,9.22,2.95,0.39,0.39
2124,Basalt,-122.0305,44.5938,50.78,0.88,17.53,9.08,0.11,8.2,9.9,2.97,0.28,0.27
2125,Basaltic andesite,-122.0433,44.5887,55.89,1.0,17.72,7.87,0.08,3.94,7.49,4.11,1.29,0.61
2126,Basaltic andesite,-122.0457,44.5963,53.22,1.22,17.6,9.42,0.1,4.66,8.13,3.97,0.93,0.75
2127,Basaltic andesite,-122.0428,44.6033,56.57,1.02,17.3,8.06,0.08,4.15,6.94,3.84,1.42,0.62
2128,Basalt,-122.073,44.5545,51.36,1.22,17.52,10.75,0.12,5.77,8.37,3.78,0.62,0.49
2129,Basaltic andesite,-122.1051,44.4144,55.04,1.26,17.06,8.51,0.15,4.78,7.75,3.74,1.17,0.54
2130,Andesite,-122.0813,44.565,58.05,1.23,16.55,8.56,0.1,2.48,6.15,4.96,1.44,0.48
2131,Andesite,-122.0928,44.5695,60.13,0.78,17.28,6.8,0.06,3.58,5.55,3.93,1.63,0.26
2132,Andesite,-122.0666,44.4837,64.81,0.78,15.82,5.6,0.08,1.23,3.65,4.92,2.72,0.39
2133,Dacite,-122.0656,44.4822,64.48,0.8,15.72,5.57,0.08,1.06,3.35,5.63,2.79,0.52
2134,Basaltic andesite,-122.0952,44.5137,54.79,0.94,18.61,7.82,0.18,4.91,8.09,3.34,1.02,0.3
2135,Basalt,-122.115,44.4838,50.89,1.02,17.87,9.48,0.11,6.5,10.47,3.12,0.28,0.26
2136,Andesite,-122.063,44.5002,58.62,0.75,18.11,6.43,0.08,3.47,7.22,4.05,0.98,0.29
2137,Andesite,-122.1037,44.4705,59.17,1.07,16.55,7.89,0.08,2.57,6.36,4.4,1.56,0.33
2138,Basaltic andesite,-122.1148,44.5673,55.49,0.94,17.58,7.46,0.06,5.14,8.25,3.67,1.0,0.4
2139,Andesite,-122.102,44.5768,49.39,0.95,17.24,10.8,0.13,7.99,10.01,2.73,0.5,0.27
2140,Basalt,-122.0622,44.5715,51.26,1.12,17.5,9.92,0.1,6.71,9.22,3.33,0.39,0.45
2141,Andesite,-122.0969,44.4985,57.74,0.73,16.27,6.35,0.05,5.67,8.6,3.57,0.71,0.31
2142,Andesite,-122.0897,44.5272,63.62,0.9,16.62,5.81,0.1,1.41,4.29,4.04,2.92,0.29
2143,Andesite,-122.0297,44.5768,71.18,0.29,14.39,3.03,0.02,0.33,1.37,6.04,3.24,0.1
2144,Andesite,-122.015,44.6063,66.43,0.71,15.33,4.77,0.04,1.31,3.26,4.87,2.98,0.31
2145,Basaltic andesite,-122.0493,44.6172,56.43,1.03,18.13,7.53,0.13,4.24,6.89,3.5,1.64,0.48
2146,Andesite,-122.0378,44.541,63.21,0.57,18.09,4.78,0.08,2.35,5.24,3.71,1.77,0.18
2147,Dacite tuff,-122.0803,44.6123,65.69,0.37,18.65,2.97,0.02,0.5,2.23,5.54,3.95,0.08
2148,Basaltic andesite,-122.2682,44.7507,54.78,0.95,20.4,6.13,0.09,4.59,7.55,4.12,0.8,0.59
2149,Basaltic andesite,-122.3035,44.7877,56.95,1.14,17.88,7.76,0.12,4.14,7.62,2.7,1.13,0.56
2150,Basaltic andesite,-122.3036,44.7863,56.92,1.17,18.14,7.49,0.15,3.26,9.35,2.95,0.09,0.48
2151,Andesite,-122.2773,44.7797,62.14,1.12,18.66,5.16,0.05,1.2,3.95,6.03,1.22,0.47
2152,Rhyolite,-122.2621,44.7925,78.06,0.2,12.39,1.16,0.03,0.17,0.88,3.14,3.91,0.06
2153,Andesite,-122.2744,44.7846,61.52,0.61,18.44,4.77,0.1,2.04,5.79,4.3,2.04,0.39
2154,Rhyolite,-122.2713,44.7847,78.13,0.13,12.88,1.3,0.04,0.41,1.33,4.5,1.13,0.15
2155,Rhyolite,-122.2692,44.7848,78.28,0.12,11.47,0.72,0.0,0.03,0.24,2.18,6.83,0.13
2156,Andesite,-122.256,44.7918,58.73,0.9,18.25,5.66,0.09,3.64,7.26,3.6,1.36,0.51
2157,Andesite,-122.2901,44.7884,60.6,0.91,18.3,6.0,0.12,2.9,5.86,3.78,1.21,0.32
2158,Andesite intrusion,-122.2753,44.7694,60.31,0.88,17.83,6.02,0.11,3.78,6.14,3.63,0.97,0.33
2159,Andesite intrusion,-122.2635,44.787,63.27,0.88,16.39,5.31,0.09,2.61,5.29,4.0,1.82,0.34
2160,Andesite ,-122.2773,44.7797,62.16,0.86,17.69,6.21,0.06,3.15,5.13,3.06,1.31,0.37
2161,Andesite intrusion,-122.2717,44.7954,61.97,0.87,16.94,5.47,0.09,3.05,5.24,3.93,2.06,0.38
2162,Granodiorite dike,-122.266,44.756,62.82,0.85,16.72,5.27,0.09,3.04,5.86,3.76,1.27,0.32
2163,Granodiorite,-122.266,44.756,68.7,0.51,15.74,3.56,0.1,1.59,2.36,3.91,3.33,0.2
2164,Granodiorite,-122.266,44.756,70.34,0.49,14.84,2.97,0.06,0.99,2.66,4.73,2.71,0.21
2165,Quartz diorite,-122.25,44.715,58.02,0.9,19.09,7.21,0.17,3.29,6.7,3.63,0.68,0.31
2166,Quartz diorite,-122.25,44.715,61.51,0.83,16.61,5.74,0.09,3.78,6.21,4.06,0.87,0.3
2167,Diorite,-122.25,44.715,61.49,0.79,17.64,5.45,0.12,2.93,6.17,4.08,1.03,0.3
